020|a	LOCATION	NOTE(ITEM)	BARCODE
9780470621943 (pbk. : alk. paper);047062194X (pbk. : alk. paper)	xmw  	rec. 011813	30000002511990
9780199691777 (pbk.);0199691770 (pbk.)	xmw  	rec. 011813	30000002511750
9780874620726 (pbk. : alk. paper);0874620724 (pbk. : alk. paper)	xmw  	rec. 011813	30000002511800
9781606130742;1606130749	xmw  	rec. 011813	30000002511719
9781849052795 (alk. paper);1849052794 (alk. paper)	xmw  	rec. 011813	30000002511792
9781598570601 (perfect binding);1598570609 (perfect binding)	xmw  	rec. 011813	30000002511487
9781849053174 (pbk. : alk. paper);1849053170 (pbk. : alk. paper)	xmw  	rec. 011813	30000002511446
9781446207666 (pbk.);1446207668 (pbk.)	xmw  	rec. 011813	30000002511636
9780826108470;0826108474	xmw  	rec. 011813	30000002511594
9781412994033 (pbk.);1412994039 (pbk.)	xmw  	rec. 011813	30000002511529
9781604063639 (alk. paper);1604063637 (alk. paper);9781604063646 (EISBN);1604063645 (EISBN)	xmw  	rec. 011813	30000002511461
9781598571967 (hardcover);1598571966 (hardcover)	xmw  	rec. 011813	30000002511545
9780132582575;0132582570	xmw  	rec. 011813	30000002511503
9781936287659;193628765X;9781617051166 (e-ISBN);1617051160 (e-ISBN)	xmw  	rec. 011813	30000002511560
9781843109938 (alk. paper);184310993X (alk. paper);9780857005113 (eISBN);0857005111 (eISBN)	xmw  	rec. 011813	30000002511669
9781849052757 (pbk.);1849052751 (pbk.);9780857005724 (ebk.);0857005723 (ebk.)	xmw  	rec. 011813	30000002511552
9781412987288 (pbk. : alk. paper);1412987288 (pbk. : alk. paper)	xmw  	rec. 011813	30000002511685
9781462503896 (alk. paper);1462503896 (alk. paper);9781609184704 (pbk. : alk. paper);160918470X (pbk. : alk. paper)	xmw  	rec. 011813	30000002511602
9781604068108 (hardcover);1604068108 (hardcover)	xmw  	rec. 011813	30000002511420
9781597564809 (alk. paper);159756480X (alk. paper)	xmw  	rec. 011813	30000002511586
