020|a	LOCATION	NOTE(ITEM)	BARCODE
9781936068210;1936068214	xmt  	rec. 031513	30000002403560
9780300135534 (hardcover : alk. paper);030013553X (hardcover : alk. paper)	x2mt 	rec. 031513	30000002403958
9781461404118;1461404118	xmw  	rec. 031513 reassigned from MT	30000002564114
0132658208 (alk. paper);9780132658201 (alk. paper)	xmt  	rec. 032113	30000002499089
9781118004364 (pbk.);1118004361 (pbk.);9781118180419 (ebk.);1118180410 (ebk.);9781118180426 (ebk.);1118180429 (ebk.);9781118180433 (ebk.);1118180437 (ebk.)	xmt  	rec. 032113	30000002499006
9780470873939 (pbk. : acid-free paper);0470873930 (pbk. : acid-free paper)	xmt  	rec. 032113	30000002400632
9781462504305 (pbk.);1462504302 (pbk.);9781462504411 (hardcover);1462504418 (hardcover)	xmt  	rec. 032113	30000002401481
9781118138601 (pbk.);1118138600 (pbk.)	xmt  	rec. 032113	30000002395402
9781462504992 (hardback);146250499X (hardback)	xmt  	rec. 032113	30000002395501
9781598849561 (paperback : acid-free paper);1598849565 (paperback : acid-free paper)	xmt  	rec. 032113	30000002395667
9781610480741 (cloth : alk. paper);1610480740 (cloth : alk. paper);9781610480758 (pbk. : alk. paper);1610480759 (pbk. : alk. paper);9781610480765 (electronic);1610480767 (electronic)	xmt  	rec. 032113	30000002395162
9780415890731 (hardback : alk. paper);041589073X (hardback : alk. paper);9780415890748 (pbk. : alk. paper);0415890748 (pbk. : alk. paper);9780203829158 (ebk.);0203829158 (ebk.)	xmt  	rec. 032113	30000002400699
0495095648 (alk. paper);9780495095644 (alk. paper)	xmt  		30000001938756
0393311449	xmt  		30000000345649
9781591479246;159147924X	xmt  		30000002050841
9780313397882 (hardback);0313397880 (hardback);9780313397899 (ebook);0313397899 (ebook)	xla  		30000001676513
9781780525044;1780525044	xmt  	rec. 032113	30000002394017
9780415687133 (hardback);0415687136 (hardback);9780415687140 (paperback);0415687144 (paperback);9780203694947 (ebook);0203694945 (ebook)	xmt  	rec. 032113	30000002395683
9781433810558 (alk. paper);1433810557 (alk. paper)	xmt  	rec. 032113	30000002394082
9780415808101;0415808103	xmt  	rec. 032113	30000002395485
1475242719;9781475242713	xmt  	rec. 032113	30000002395287
9781118000175 (pbk.);111800017X (pbk.)	xmt  	rec. 032113	30000002498966
9780470654941;0470654945	xmt  	rec. 032113	30000002395584
9781610485517 (cloth : alk. paper);1610485513 (cloth : alk. paper);9781610485524 (pbk. : alk. paper);1610485521 (pbk. : alk. paper);161048553X (electronic);9781610485531 (electronic)	xmt  	rec. 032113	30000002395444
9780199795406 (hardcover : alk. paper);0199795401 (hardcover : alk. paper)	xmt  	rec. 032113	30000002395675
9780415897488 (hardback);0415897483 (hardback);9780415897471 (pbk.);0415897475 (pbk.);9780203804032 (e-book);0203804031 (e-book)	xmt  	rec. 032113	30000002395329
9780415672467 (hbk. : v.29);0415672465 (hbk. : v.29);9780415615174 (hbk. : Set);0415615178 (hbk. : Set)	xmt  	rec. 032113	30000002395360
9780230111851;0230111858	xmt  	rec. 032113	30000002395626
9781444336108 (cloth);144433610X (cloth);9781444336115 (pbk.);1444336118 (pbk.)	xmt  	rec. 032113	30000002395469
9781433809736;1433809737;1433809745;9781433809743	xmt  	rec. 032113	30000002401721
9780398088002 (hard);0398088004 (hard);9780398088019 (pbk.);0398088012 (pbk.);9780398088026 (ebook);0398088020 (ebook)	xmt  	rec. 032113	30000002395311
9780398088361 (hard);0398088365 (hard);9780398088378 (pbk.);0398088373 (pbk.);9780398088385 (ebook);0398088381 (ebook)	xmt  	rec. 032113	30000002395527
9781607098706 (hardback);1607098709 (hardback);9781607098713 (paper);1607098717 (paper);9781607098720 (ebook);1607098725 (ebook)	xmt  	rec. 032113	30000002400384
9781466609365;1466609362 (hardcover);9781466609372 (ebook);1466609370 (ebook);9781466609389 (print & perpetual access);1466609389 (print & perpetual access)	xmt  	rec. 032113	30000002395642
9781613504895 (hardcover);1613504896 (hardcover);9781613504901 (ebook);161350490X (ebook);9781613504918 (print & perpetual access);1613504918 (print & perpetual access)	xmt  	rec. 032113	30000002395246
9781433810862;1433810867	xmt  	rec. 032113	30000002395428
0452284597 (pbk.);9780452284593 (pbk.)	xwb  	gift of David Levy	30000002539900
0142002100 (pbk.);9780142002100 (pbk.)	xwb  	gift of David Levy	30000002539868
0297817523;9780297817529	x2wb 	gift of David Levy	30000002539827
0345372484;9780345372482	xwb  	gift of David Levy	30000002539819
0395431549 (pbk.);9780395431542 (pbk.)	xwb  	gift of David Levy	30000002539777
9780415883009 (hardback);0415883008 (hardback);9780415883016 (paperback);0415883016 (paperback);0203846265 (ebook);9780203846261 (ebook)	xmt  	rec. 032113	30000002394041
9780823234226 (cloth : alk. paper);0823234223 (cloth : alk. paper);9780823234233 (pbk. : alk. paper);0823234231 (pbk. : alk. paper)	xmt  	rec. 032113	30000002393845
9780615619309;0615619304	xmt  	rec. 032013	
9781613503478 (hardcover);1613503474 (hardcover);9781613503485 (ebook);1613503482 (ebook);9781613503492 (print & perpetual access);1613503490 (print & perpetual access)	xmt  	rec. 032113	30000002400251
9780470658321 (hardcover : alk. paper);0470658320 (hardcover : alk. paper);9780470658345 (pbk. : alk. paper);0470658347 (pbk. : alk. paper)	xmt  	rec. 032113	30000002400228
	xmt  	rec. 021213	30000002498917
	xmt  	rec. 021213	30000002498875
9780230244634 (pbk.);0230244637 (pbk.)	xmt  	rec. 032113	30000002402067
9781118057612 (hardback : acid free paper);1118057619 (hardback : acid free paper)	xmt  	rec. 032113	30000002395519
9780471715429;0471715425	xmt  	rec. 032113	30000002400269
9781466609273;1466609273;9781466609280 (ebook);1466609281 (ebook);9781466609297 (print & perpetual access);146660929X (print & perpetual access)	xmt  	rec. 032113	30000002400624
9781133626466 (hbk.);1133626467 (hbk.)	xmt  	rec. 032113	30000002400467
9781118063347 (pbk.);1118063341 (pbk.)	xmt  	rec. 032113	30000002400301
9780470512166 (pbk.);0470512164 (pbk.)	xmt  	rec. 032113	30000002400343
9781466620179 (hardcover);146662017X (hardcover);9781466620186 (ebook);1466620188 (ebook);9781466620193 (print & perpetual access);1466620196 (print & perpetual access)	xmt  	rec. 032113	30000002395600
9781444332872 (hardback);1444332872 (hardback);9781444332889 (paperback);1444332880 (paperback);9781444355857 (ePDFs);1444355856 (ePDFs);9781444355864 (ePub);1444355864 (ePub);9781444355871 (Mobi);1444355872 (Mobi)	xmt  	rec. 032113	30000002400376
9780742555624 (pbk. : alk. paper);0742555623 (pbk. : alk. paper)	xmt  	rec. 032113	30000002400426
9781442202948 (pbk. : alk. paper);1442202947 (pbk. : alk. paper);9781442202955 (electronic);1442202955 (electronic)	xmt  	rec. 032113	30000002401614
9780742563216 (cloth : alk. paper);0742563219 (cloth : alk. paper);9780742563223 (pbk : alk. paper);0742563227 (pbk : alk. paper);9780742563483 (electronic);0742563480 (electronic)	xmt  	rec. 032113	30000002401663
9781442209909 (pbk.) :;1442209909 (pbk.) :	xmt  	rec. 032113	30000002400616
9781442203846 (hbk. : alk. paper);1442203846 (hbk. : alk. paper);9781442203853 (pbk. : alk. paper);1442203854 (pbk. : alk. paper)	xmt  	rec. 032113	30000002400657
9781118025246 (pbk.);1118025245 (pbk.)	xmt  	rec. 032113	30000002400772
9781133190240;1133190243	xmt  	rec. 032113	30000002400509
9780470509487 (pbk. : alk. paper);0470509481 (pbk. : alk. paper)	xmt  	rec. 032113	30000002395543
0619059710;9780619059712	xmt  	rec. 032113	30000002400665
9781118014899 (cloth);1118014898 (cloth)	xmt  	rec. 032113	30000002401556
9780742555402 (cloth : alk. paper);9780742555419 (pbk. : alk. paper);0742555402 (cloth : alk. paper);0742555410 (pbk. : alk. paper)	xmt  	rec. 032113	30000002400731
9780742567092 (cloth : alk. paper);0742567095 (cloth : alk. paper);9780742567108 (pbk. : alk. paper);0742567109 (pbk. : alk. paper);9780742567115 (electronic);0742567117 (electronic)	xmt  	rec. 032113	30000002401705
9780071782821 (hbk. : alk. paper);0071782826 (hbk. : alk. paper)	xbw  	rec. 032113	30000002233298
9780749462734 (pbk.);0749462736 (pbk.);9780749462741 (ebook);0749462744 (ebook)	xbw  	rec. 032113	30000002235590
9781430238379 (pbk.);1430238372 (pbk.)	xbw  	rec. 032113	30000002235616
9781433810961;1433810964	xbw  	rec. 032113	30000002233439
9780132599849 (pbk.);0132599848 (pbk.)	xbw  	rec. 032113	30000002235509
9780071782289 (alk. paper);0071782281 (alk. paper)	xbw  	rec. 032113	30000002233181
9780313386527 (hardcopy : alk. paper);0313386528 (hardcopy : alk. paper)	xbw  	rec. 032113	30000002233272
9780313386527 (hardcopy : alk. paper);0313386528 (hardcopy : alk. paper)	xbw  	rec. 032113	30000002233314
9780230283701 (alk. paper);0230283705 (alk. paper)	xbw  	rec. 032113	30000002233223
9780805848465 (hardcover : alk. paper);0805848460 (hardcover : alk. paper);9780805848472 (pbk. : alk. paper);0805848479 (pbk. : alk. paper)	xbw  	rec. 032113	30000002235087
9780415880770 (hardcover : alk. paper);0415880777 (hardcover : alk. paper)	xbw  	rec. 032113	30000002233231
9780415896528 (hbk. : alk. paper);0415896525 (hbk. : alk. paper);9780203106495 (ebk.);0203106490 (ebk.)	xbw  	rec. 032113	30000002233371
9781118208816 (pbk.);1118208811 (pbk.)	xbw  	rec. 032113	30000002233330
9780749465568 (pbk.);0749465565 (pbk.);9780749465575;0749465573	xbw  	rec. 032113	30000002235541
9781422144046 (alk. paper);1422144046 (alk. paper)	xbw  	rec. 032113	30000002233264
9780520272910 (pbk.);0520272919 (pbk.)	xbw  	rec. 032113	30000002235582
9781605290782 (pbk.);1605290785 (pbk.)	xbw  	rec. 032113	30000002235665
9780061715662 (pbk.);0061715662	xbw  	rec. 032113	30000002233553
9780749465629 (pbk.);074946562X (pbk.);9780749465636 (e-ISBN);0749465638 (e-ISBN)	xbw  	rec. 032113	30000002235053
9789089643858 (pbk.);9089643850 (pbk.);9789048515349;9048515343	xbw  	rec. 032113	30000002235640
9781603429894 (pbk. : alk. paper);1603429891 (pbk. : alk. paper)	xbw  	rec. 032113	30000002235558
9781566568876 (pbk.);1566568870 (pbk.)	xbw  	rec. 032113	30000002235079
9781609010782 (pbk.);1609010787 (pbk.)	xbw  	rec. 032113	30000002233389
9781440538780;1440538786	xbw  	rec. 032113	30000002235335
9780415556453 (hardback);0415556457 (hardback);9780203810279 (ebook);0203810279 (ebook)	xbw  	rec. 032113	30000002233462
9780071791090 (alk. paper);0071791094 (alk. paper)	xbw  	rec. 032113	30000002233173
9780547750118 (hbk.);0547750110 (hbk.)	xbw  	rec. 032113	30000002233215
9781412843058;1412843057	xbw  	rec. 032113	30000002233355
9780691149134 (hardcover);0691149135 (hardcover)	xbw  	rec. 032113	30000002233470
9780385531979;0385531974	xbw  	rec. 032113	30000002233397
9781848729445 (hardcover : alk. paper);1848729448 (hardcover : alk. paper)	xbw  	rec. 032113	30000002233199
9788183282543 (pbk.);8183282547	xbw  	rec. 032113	30000002233546
9780470974889 (hardback);0470974885 (hardback)	xbw  	rec. 032113	30000002233504
9781461434238 (acid-free paper);1461434238 (acid-free paper)	xbw  	rec. 032113	30000002233512
9781118232606 (pbk.);1118232607 (pbk.)	xbw  	rec. 032113	30000002235624
9781601632111 (pbk.);1601632118 (pbk.);9781601636041 (ebk.);1601636040 (ebk.)	xbw  	rec. 032113	30000002235632
9780137011605 (hardcover : alk. paper);0137011601 (hardcover : alk. paper)	xbw  	rec. 032113	30000002233348
9780313385759 (hardback);0313385750 (hardback);9780313385766 (ebook);0313385769 (ebook)	xbw  	rec. 032113	30000002233496
9780071750295 (alk. paper);0071750290	xbw  	rec. 032113	30000002233454
9780982664445;0982664443	xbw  	rec. 032113	30000002235533
9780415593922 (hbk.);0415593921 (hbk.);9780415593939 (pbk.);041559393X (pbk.);9780203120750 (ebk.);0203120752 (ebk.)	xbw  	rec. 032113	30000002235574
9781593578657 (pbk. : alk. paper);1593578652 (pbk. : alk. paper)	xbw  	rec. 032113	30000002235061
9780749465247;0749465247;9780749464608;0749464607	xbw  	rec. 032113	30000002235459
9781439169575 (trade pbk);1439169578 (trade pbk)	xbw  	rec. 032113	30000002235681
9780230252202 (alk. paper);0230252206 (alk. paper)	xbw  	rec. 032113	30000002233413
9780230336919 (pbk.);0230336914 (pbk.)	xbw  	rec. 032113	30000002235491
9780132556385 (alk. paper);0132556383 (alk. paper)	xvbw 	rec. 032113	30000002233256
9780132576147 (pbk. : alk. paper);0132576147 (pbk. : alk. paper);9780133104516 (IE : pbk.);0133104516 (IE : pbk.)	xbw  	rec. 032113	30000002235418
9780078029127 (alk. paper);0078029120 (alk. paper)	xbw  	rec. 032113	30000002233306
9780984027309 (pbk.);0984027300 (pbk.);9780984027316 (ebk.);0984027319 (ebk.)	xbw  	rec. 032113	30000002235657
9780857384270 (pbk);0857384279 (pbk)	xbw  	rec. 032113	30000002235376
9780470371268 (cloth);0470371269 (cloth);0470548584;9780470548585	xbw  	rec. 032113	30000002233421
9781612191270 (pbk.);1612191274 (pbk.)	xbw  	rec. 032113	30000002235673
9780073379746 (pbk.);0073379743 (pbk.)	xwb  		30000002498685
0870142100;9780870142109	xbw  	rec. 040913	30000002233447
9780073362656 (pbk. : alk. paper);0073362654;9780071285407 (international ed.);0071285407 (international ed.);9780071285391;0071285393	xmw  	rec. 040913	
9780538746892 (student ed.);0538746890 (student ed.)	xmw  	rec. 040913	
013730854X	xwb  	gift of Pearl Schwartz	30000002487852
0132928485 :	xwb  	gift of Pearl Schwartz	30000002487894
0721641040;9780721641041	xwb  	gift of Pearl Schwartz	30000002539702
0023242000 (pbk.);9780023242007 (pbk.)	xwb  	gift of Pearl Schwartz	
0321044258;9780321044259	xwb  	gift of Pearl Schwartz	30000002487936
	xwb  	gift of David Levy	30000002539744
9781107028098 (hardback);1107028094 (hardback);9781107609174 (paperback);1107609178 (paperback)	xmw  	rec. 040813	30000002563942
	xmt  	rec. 040913	30000002397002
9780199603381 (pbk. : alk. paper);0199603383 (pbk. : alk. paper)	xmw  	rec. 040813	30000002563884
9780719083297;071908329X	xmw  	rec. 040813	30000002563256
9780801450792 (cloth : alk. paper);0801450799 (cloth : alk. paper)	xmw  	rec. 040813	30000002563298
9780815610076 (cloth : alk. paper);0815610076 (cloth : alk. paper)	xmw  	rec. 040813	30000002563215
9781588268235 (alk. paper);1588268233 (alk. paper)	xmw  	rec. 040813	30000002563983
9780691153971 (hardcover : alk. paper);0691153973 (hardcover : alk. paper)	xmw  	rec. 040813	30000002564437
9781617032936 (cloth : alk. paper);161703293X (cloth : alk. paper);9781617032943 (ebook);1617032948 (ebook)	xmw  	rec. 040813	30000002564478
9781107024465 (hardback);1107024463 (hardback);9781107653788 (paperback);1107653789 (paperback)	xmw  	rec. 040813	30000002563330
9780231131360 (cloth : alk. paper);0231131364 (cloth : alk. paper);9780231131377 (pbk.);0231131372 (pbk.);9780231504690 (electronic);0231504691 (electronic)	xmw  	rec. 040813	30000002564361
9780815722021 (pbk. : alk. paper);0815722028 (pbk. : alk. paper)	xmw  	rec. 040813	30000002564445
9781433117206 (hardcover : alk. paper);1433117207 (hardcover : alk. paper);9781433119743 (pbk. : alk. paper);1433119749 (pbk. : alk. paper)	xmw  	rec. 040813	30000002564403
9781111836528 (pbk.);1111836523 (pbk.)	xmw  	rec. 040813	30000002563959
9780807753415 (pbk. : alk. paper);0807753416 (pbk. : alk. paper);9780807753422 (hardcover : alk. paper);0807753424 (hardcover : alk. paper)	xmw  	rec. 040813	30000002563918
9780415895569 (hbk. : acid-free paper);0415895561 (hbk. : acid-free paper);9780415895576 (pbk. : acid-free paper);041589557X (pbk. : acid-free paper);9780203120781 (ebook);0203120787 (ebook)	xmw  	rec. 040813	30000002563876
9780826123152 (alk. paper);0826123155 (alk. paper)	xmw  	rec. 040813	30000002563926
1906764433;9781906764432	xmw  	rec. 040813	30000002563868
9789089643605 (pbk.);9089643605 (pbk.);9789048514991 (e-isbn : pdf);9048514991 (e-isbn : pdf);9789048516346 (e-isbn : ePub);904851634X (e-isbn : ePub)	xmw  	rec. 040813	30000002563900
9780199913749 (pbk.);0199913749 (pbk.)	xmw  	rec. 040813	30000002564395
9780295991726 (pbk.);0295991720 (pbk.)	xmw  	rec. 040813	30000002563413
9780521306836 (pbk);0521306833 (pbk)	xmw  	rec. 040813	30000002563371
9781906764401 (pbk.);1906764409 (pbk.)	xmw  	rec. 040813	30000002564239
9781107022188 (hbk.);1107022185 (hbk.);9781107606616 (pbk.);1107606616 (pbk.)	xmw  	rec. 040813	30000002564155
9780700618866 (cloth : alk. paper);0700618864 (cloth : alk. paper)	xmw  	rec. 040813	30000002564197
9780820343143 (hardcover : alk. paper);0820343145 (hardcover : alk. paper);9780820343150 (pbk. : alk. paper);0820343153 (pbk. : alk. paper)	xmw  	rec. 040813	30000002564031
9781936221431;1936221438	xmw  	rec. 040813	30000002564486
9781433811661;1433811669	xmw  	rec. 040813	30000002513483
9781444336375 (hardcover : alk. paper);1444336371 (hardcover : alk. paper);9781444336382 (pbk. : alk. paper);144433638X (pbk. : alk. paper)	xmw  	rec. 040813	30000002564080
9780801451102 (cloth : alk. paper);0801451108 (cloth : alk. paper);9780801478154 (pbk. : alk. paper);0801478154 (pbk. : alk. paper)	xmw  	rec. 040813	30000002564049
9781608315789 (alk. paper);1608315789 (alk. paper)	xb5  	rec. 040813	30000001171119
9780719083297;071908329X	xb5  	rec. 040813	30000001171333
9780801450877 (cloth : alk. paper);080145087X (cloth : alk. paper)	xb5  	rec. 040813	30000001171234
9781118027776 (pbk.);1118027779 (pbk.)	xb5  	rec. 040813	30000001170988
9781904113744;1904113745	xb5  	rec. 040813	30000001170756
9780521843317 (hardback);0521843316 (hardback)	xb5  	rec. 040813	30000001170798
9780804772341 (hbk.);0804772347 (hbk.)	xb5  	rec. 040813	30000001171309
0192802828 (pbk.);9780192802828 (pbk.)	xb5  	rec. 040813	30000001171291
9780307275172;0307275175	xb5  	rec. 040813	30000001171028
9780071752855 (alk. paper);0071752854 (alk. paper)	xb5  	rec. 040813	30000001171143
9781848720848 (hardback);184872084X (hardback)	xb5  	rec. 040813	30000001170863
9780199764556 (hardback : acid-free paper);0199764557 (hardback : acid-free paper)	xb5  	rec. 040813	30000001170871
9781461418696 (alk. paper);1461418690 (alk. paper);9781461418702 (e-ISBN);1461418704 (e-ISBN)	xb5  	rec. 040813	30000001170830
9780415430616 (hardback : alk. paper);0415430615 (hardback : alk. paper);9780203934647 (e-book : alk. paper);0203934644 (e-book : alk. paper)	xb5  	rec. 040813	30000001170905
9780230391666;0230391664	xb5  	rec. 040813	30000001171101
9781596987784;1596987782	xb5  	rec. 040813	30000001171267
9781422166963 (hardcover : alk. paper);1422166961	xb5  	rec. 040813	30000001171226
9780415972123;0415972124	xb5  	rec. 040813	30000001170806
9781118096345 (cloth);1118096347 (cloth)	xb5  	rec. 040813	30000001170780
9780230108059 (pbk.);0230108059 (pbk.)	xb5  	rec. 040813	30000001170822
9781848720831 (hardcover);1848720831 (hardcover);9780203097694 (ebk);0203097696 (ebk)	xb5  	rec. 040813	30000001170913
9781401923327 (pbk.);1401923321 (pbk.)	xb5  	rec. 040813	30000001171036
9780199924585 (pbk.);0199924589 (pbk.)	xb5  	rec. 040813	30000001171069
9781608193387 (pbk.);1608193381 (pbk.)	xb5  	rec. 040813	30000001170764
9780889374348 (pbk.);0889374341 (pbk.)	xb5  	rec. 040813	30000001170996
9780313397318 (hbk. : alk. paper);0313397317 (hbk. : alk. paper);9780313397325 (e-book);0313397325 (e-book)	xb5  	rec. 040813	30000001170954
9781118149928 (hardback);1118149920 (hardback)	xb5  	rec. 040813	30000001171192
9780735626942 (pbk.);0735626944 (pbk.)	xb5  	rec. 040813	30000001170947
9780195376708;0195376706	xb5  	rec. 040813	30000001171341
9781452202921 (pbk. : alk. paper);1452202923 (pbk. : alk. paper)	xb5  	rec. 040813	30000001171150
9780415898669 (hardback);0415898668 (hardback);9780415898676 (paperback);0415898676 (paperback)	xb5  	rec. 040813	30000001171184
9780826107329 (pbk.);082610732X (pbk.);9780826107336 (e-book);0826107338 (e-book)	xmt  	rec. 040813	30000002401754
9780132658096;0132658097	xmt  	rec. 040813	30000002394132
9780230115804 (hc);0230115802 (hc);9781137268549 (pbk);1137268549 (pbk)	xmt  	rec. 040813	30000002401796
9780742599628 (pbk. : alk. paper);0742599620 (pbk. : alk. paper);9780742599635 (electronic);0742599639 (electronic)	xmt  	rec. 040813	30000002401507
9781461418696 (alk. paper);1461418690 (alk. paper);9781461418702 (e-ISBN);1461418704 (e-ISBN)	xmt  	rec. 040813	30000002394108
0226137805 (cloth : alk. paper);0226137813 (pbk. : alk. paper)	xmt  	rec. 040813	30000002402059
9780826123152 (alk. paper);0826123155 (alk. paper)	xmt  	rec. 040813	30000002402018
9780415503723 (pbk. : alk. paper);0415503728 (pbk. : alk. paper)	xmt  	rec. 040813	30000002401580
0131180223;9780131180222	xmt  	rec. 040813	30000002393985
9780801893865 (hardcover : alk. paper);0801893860 (hardcover : alk. paper)	xmt  	rec. 040813	30000002394025
9780826106834;0826106838;9780826106841 (e-book);0826106846 (e-book);9780826109569 (instructor's manual);082610956X (instructor's manual)	xmt  	rec. 040813	30000002394116
9780230300170;0230300170	xmt  	rec. 040813	30000002401994
9780230250130;0230250130	xmt  	rec. 040813	30000002401531
9780199860586 (hardcover : alk. paper);0199860580 (hardcover : alk. paper)	xmt  	rec. 040813	30000002401937
9781433810930;143381093X	xmt  	rec. 040813	30000002401911
9781433811852;1433811855	xmt  	rec. 040813	30000002401804
9781446201893 (hbk.);1446201899 (hbk.);9781446201909 (pbk.);1446201902 (pbk.)	xmt  	rec. 040813	30000002401846
9780415673488 (hardback);0415673488 (hardback);9780415673495 (paperback);0415673496 (paperback);9780203094907 (ebook);0203094905 (ebook)	xmt  	rec. 040813	30000002401630
9781446256725;1446256723;9780857259875 (pbk.);0857259873 (pbk.)	xmt  	rec. 040813	30000002402042
9781137030917 (hbk.);1137030917 (hbk.);9781137030924 (pbk.);1137030925 (pbk.)	xmt  	rec. 040813	30000002402000
9780415687638 (hbk. : alk. paper);0415687632 (hbk. : alk. paper);9780415687645 (pbk. : alk. paper);0415687640 (pbk. : alk. paper);9780203151969 (ebook);0203151968 (ebook)	xmt  	rec. 040813	30000002401887
9780137147410 (pbk.);0137147414 (pbk.)	xmt  	rec. 040813	30000002401879
9780132613262 (pbk.);0132613263 (pbk.)	xmt  	rec. 040813	30000002401838
9781118063330 (hbk.);1118063333 (hbk.)	xmt  	rec. 040813	30000002395568
0335245218  (pbk.);9780335245215  (pbk.)	xmt  	rec. 040813	30000002401952
9780857258267 (hbk.);0857258265 (hbk.);9781844453795 (pbk.);1844453790 (pbk.)	xmt  	rec. 040813	30000002401572
0761822496 (pbk. : alk. paper);9780761822493 (pbk. : alk. paper)	xmt  	rec. 040813	30000002395204
9780271052175 (cloth : alk. paper);0271052171 (cloth : alk. paper)	xmt  	rec. 040813	30000002401960
9781409410546 (hbk. : alk. paper);1409410544 (hbk. : alk. paper)	xmt  	rec. 040813	30000002401929
0131856626;9780131856622;0132018179 (pbk.);9780132018173 (pbk.)	xkg  		30000002358558
9780385518512;038551851X	xkg  		30000002358525
	xkg  		30000002358566
	xkg  		30000002357295
	xkg  		30000002358483
	xkg  		30000002358541
0721635431;9780721635439	xkg  		30000002358517
9781462504992 (hardback);146250499X (hardback)	xkh  	rec. 041513	
9781557668851 (pbk.);155766885X (pbk.)	xkh  	rec. 041513	
9781610483421 (hardback);1610483421 (hardback);9781610483438 (paper);161048343X (paper);9781610483445 (electronic);1610483448 (electronic)	xkh  	rec. 041513	
9781861349507 (hbk.);1861349505 (hbk.);1861349491 (pbk.);9781861349491 (pbk.)	xkh  	rec. 041513	
9781607098706 (hardback);1607098709 (hardback);9781607098713 (paper);1607098717 (paper);9781607098720 (ebook);1607098725 (ebook)	xkh  	rec. 041513	
9781412987288 (pbk. : alk. paper);1412987288 (pbk. : alk. paper)	xkh  	rec. 041513	
9780826159953 (alk. paper);0826159958 (alk. paper)	xkh  	rec. 041513	
9780826124722;0826124720	xkh  	rec. 041513	
9781932565553;1932565558	xkh  	rec. 041513	
9780857021465;085702146X;9780857021458;0857021451	xkh  	rec. 041513	
3836470586;9783836470582	xkh  	rec. 041513	
9780415894586 (hardback);0415894581 (hardback);9780415894593 (pbk.);041589459X (pbk.);9780203813119 (ebk);0203813111 (ebk)	xkh  	rec. 041513	
0826484670 (hbk.);0826484689 (pbk.)	xkh  	rec. 041513	
9781610486729 (cloth : alk. paper);1610486722 (cloth : alk. paper);9781610486736 (pbk. : alk. paper);1610486730 (pbk. : alk. paper);9781610486743 (electronic);1610486749 (electronic)	xkh  	rec. 041513	
9781617354816 (pbk.);1617354813 (pbk.);9781617354823 (hardcover);1617354821 (hardcover);9781617354830 (e-book);161735483X (e-book)	xkh  	rec. 041513	
9781461434047;1461434041	xmt  	rec. 040813	30000002403438
9781461439806 (alk. paper);1461439809 (alk. paper);9781461439813 (eBook);1461439817 (eBook)	xmt  	rec. 040813	30000002404048
9781412965736 (cloth);141296573X (cloth);9781412965743 (pbk.);1412965748 (pbk.)	xmt  	rec. 040813	30000002403818
9780415535618 (hbk);0415535611 (hbk);9780203110980 (ebk);0203110986 (ebk)	xmt  	rec. 040813	30000002402083
9781617221491;161722149X	xmt  	rec. 040813	30000002402034
9781621006978 (pbk.);1621006972 (pbk.)	xmt  	rec. 040813	30000002401598
190554183X;9781905541836	xmt  	rec. 040813	30000002401713
9781409439172 (hbk. : alk. paper);1409439178 (hbk. : alk. paper)	xmt  	rec. 040813	30000002401895
9781847428042;1847428045	xmt  	rec. 040813	30000002401671
9780857258397 (hbk.);0857258397 (hbk.);9780857256218 (pbk.);0857256211 (pbk.)	xmt  	rec. 040813	30000002402075
9780415691093 (hbk.);0415691095 (hbk.);9780415691109 (pbk.);0415691109 (pbk.);9780203120910 (ebk);0203120914 (ebk)	xmt  	rec. 040813	30000002394124
9780415654067 (pbk.);0415654068 (pbk.)	xmt  	rec. 040813	30000002400541
9781462504831 (hardback);1462504833 (hardback)	xmt  	rec. 040813	30000002395147
9781119953548 (cloth);1119953545 (cloth)	xmt  	rec. 040813	30000002395220
9780857258748 (cased);0857258745 (cased);0857258052 (pbk.);9780857258052 (pbk.)	xmt  	rec. 040813	30000002395352
9780840029157;0840029152	xmt  	rec. 040813	30000002394165
9783034308489 (alk. paper);3034308485 (alk. paper)	xmt  	rec. 040813	30000002401986
9780871014269;0871014262	xmt  	rec. 040813	30000002395477
9781847429339 (hbk.);1847429335 (hbk.)	xmt  	rec. 040813	30000002401978
9780840029126 (pbk.);0840029128 (pbk.)	xmt  	rec. 040813	30000002395592
9780415670715 (hbk.);0415670713 (hbk.);9780415670722 (pbk.);0415670721 (pbk.)	xmt  	rec. 040813	30000002395154
9780415678117 (hardback);0415678110 (hardback);9780415678124 (pbk.);0415678129 (pbk.);9780203095300 (ebook);0203095308 (ebook)	xmt  	rec. 040813	30000002395550
9781462504954 (hardcover : alk. paper);1462504957 (hardcover : alk. paper)	xmt  	rec. 040813	30000002395386
9780470890479 (pbk. : acid-free paper);0470890479 (pbk. : acid-free paper);9781118138809 (ebk);1118138805 (ebk);9781118138816 (ebk);1118138813 (ebk);9781118138793 (ebk);1118138791 (ebk)	xmt  	rec. 040813	30000002394140
9781847424365 (hbk.);1847424368 (hbk.);9781847424358 (pbk.);184742435X (pbk.)	xmt  	rec. 040813	30000002401655
9781433809255;1433809257;9781433809262 (electronic);1433809265 (electronic)	xmt  	rec. 040813	30000002394157
